what,kind,bundleId,bundleVersion,description,time
activated,perspective,org.eclipse.jdt.ui,3.7.2.v20120109-1427,"org.eclipse.jdt.ui.JavaPerspective",1412601783891
activated,view,org.eclipse.mylyn.tasks.ui,3.6.5.v20120215-0100,"org.eclipse.mylyn.tasks.ui.views.tasks",1412601784092
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.perspectives.showPerspective",1412601784121
executed,command,org.eclipse.jdt.ui,3.7.2.v20120109-1427,"org.eclipse.jdt.ui.JavaPerspective",1412601784121
activated,view,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.internal.introview",1412601795881
activated,view,org.eclipse.ui.views,3.6.0.v20110928-1505,"org.eclipse.ui.views.ContentOutline",1412601798484
activated,view,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.internal.introview",1412601798497
activated,view,org.eclipse.jdt.ui,3.7.2.v20120109-1427,"org.eclipse.jdt.ui.PackageExplorer",1412601799893
activated,editor,org.eclipse.jdt.ui,3.7.2.v20120109-1427,"org.eclipse.jdt.ui.CompilationUnitEditor",1412601802934
activated,view,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.internal.introview",1412601806026
activated,editor,org.eclipse.jdt.ui,3.7.2.v20120109-1427,"org.eclipse.jdt.ui.CompilationUnitEditor",1412601806092
activated,view,org.eclipse.jdt.ui,3.7.2.v20120109-1427,"org.eclipse.jdt.ui.PackageExplorer",1412601809669
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1412601819897
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1412601821950
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1412601822212
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1412601834903
executed,command,org.eclipse.jdt.ui,3.7.2.v20120109-1427,"org.eclipse.jdt.ui.edit.text.java.rename.element",1412601834954
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1412601840392
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1412601852846
executed,command,org.eclipse.jdt.ui,3.7.2.v20120109-1427,"org.eclipse.jdt.ui.edit.text.java.rename.element",1412601852859
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1412601860647
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1412601869180
executed,command,org.eclipse.jdt.ui,3.7.2.v20120109-1427,"org.eclipse.jdt.ui.edit.text.java.rename.element",1412601869193
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1412601874219
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1412601884730
